LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Valuelog,growth
ITA,INDPROD,TOT,IDX2015,M,1988-07,106.5895,4.668985008,
ITA,INDPROD,TOT,IDX2015,M,1988-08,105.173,4.655606613,
ITA,INDPROD,TOT,IDX2015,M,1988-09,108.006,4.682186781,
ITA,INDPROD,TOT,IDX2015,M,1988-10,107.4158,4.676707285,
ITA,INDPROD,TOT,IDX2015,M,1988-11,109.3044,4.694136651,
ITA,INDPROD,TOT,IDX2015,M,1988-12,111.5471,4.714446923,
ITA,INDPROD,TOT,IDX2015,M,1989-01,110.0126,4.700594905,
ITA,INDPROD,TOT,IDX2015,M,1989-02,110.2487,4.702738723,
ITA,INDPROD,TOT,IDX2015,M,1989-03,108.7142,4.68872242,
ITA,INDPROD,TOT,IDX2015,M,1989-04,109.5405,4.696294344,
ITA,INDPROD,TOT,IDX2015,M,1989-05,108.5961,4.687635495,
ITA,INDPROD,TOT,IDX2015,M,1989-06,111.3111,4.712328984,
ITA,INDPROD,TOT,IDX2015,M,1989-07,110.0126,4.700594905,
ITA,INDPROD,TOT,IDX2015,M,1989-08,109.5405,4.696294344,
ITA,INDPROD,TOT,IDX2015,M,1989-09,112.1373,4.719724013,
ITA,INDPROD,TOT,IDX2015,M,1989-10,112.6095,4.723926082,
ITA,INDPROD,TOT,IDX2015,M,1989-11,112.7275,4.724973402,
ITA,INDPROD,TOT,IDX2015,M,1989-12,113.5538,4.732276733,
ITA,INDPROD,TOT,IDX2015,M,1990-01,110.1908,4.702213409,
ITA,INDPROD,TOT,IDX2015,M,1990-02,110.7908,4.707643738,
ITA,INDPROD,TOT,IDX2015,M,1990-03,111.1907,4.711246745,
ITA,INDPROD,TOT,IDX2015,M,1990-04,112.0907,4.719308365,
ITA,INDPROD,TOT,IDX2015,M,1990-05,110.7908,4.707643738,
ITA,INDPROD,TOT,IDX2015,M,1990-06,109.6909,4.69766641,
ITA,INDPROD,TOT,IDX2015,M,1990-07,109.9908,4.700396726,
ITA,INDPROD,TOT,IDX2015,M,1990-08,111.1907,4.711246745,
ITA,INDPROD,TOT,IDX2015,M,1990-09,110.8908,4.708545933,
ITA,INDPROD,TOT,IDX2015,M,1990-10,110.2908,4.703120514,
ITA,INDPROD,TOT,IDX2015,M,1990-11,108.6909,4.688508074,
ITA,INDPROD,TOT,IDX2015,M,1990-12,110.4908,4.70493226,
ITA,INDPROD,TOT,IDX2015,M,1991-01,111.0907,4.710346985,
ITA,INDPROD,TOT,IDX2015,M,1991-02,108.9909,4.691264393,
ITA,INDPROD,TOT,IDX2015,M,1991-03,108.391,4.68574506,
ITA,INDPROD,TOT,IDX2015,M,1991-04,107.3911,4.676477311,
ITA,INDPROD,TOT,IDX2015,M,1991-05,108.6909,4.688508074,
ITA,INDPROD,TOT,IDX2015,M,1991-06,109.0909,4.69218148,
ITA,INDPROD,TOT,IDX2015,M,1991-07,109.0909,4.69218148,
ITA,INDPROD,TOT,IDX2015,M,1991-08,109.6909,4.69766641,
ITA,INDPROD,TOT,IDX2015,M,1991-09,110.8908,4.708545933,
ITA,INDPROD,TOT,IDX2015,M,1991-10,110.1908,4.702213409,
ITA,INDPROD,TOT,IDX2015,M,1991-11,110.7908,4.707643738,
ITA,INDPROD,TOT,IDX2015,M,1991-12,109.2909,4.694013135,
ITA,INDPROD,TOT,IDX2015,M,1992-01,110.1908,4.702213409,
ITA,INDPROD,TOT,IDX2015,M,1992-02,110.1908,4.702213409,
ITA,INDPROD,TOT,IDX2015,M,1992-03,109.9908,4.700396726,
ITA,INDPROD,TOT,IDX2015,M,1992-04,110.2908,4.703120514,
ITA,INDPROD,TOT,IDX2015,M,1992-05,109.9908,4.700396726,
ITA,INDPROD,TOT,IDX2015,M,1992-06,109.7908,4.698576737,
ITA,INDPROD,TOT,IDX2015,M,1992-07,108.391,4.68574506,
ITA,INDPROD,TOT,IDX2015,M,1992-08,106.4911,4.668061414,
ITA,INDPROD,TOT,IDX2015,M,1992-09,105.6912,4.660521635,
ITA,INDPROD,TOT,IDX2015,M,1992-10,106.3911,4.667121927,
ITA,INDPROD,TOT,IDX2015,M,1992-11,107.0911,4.673679874,
ITA,INDPROD,TOT,IDX2015,M,1992-12,105.2912,4.656729845,
ITA,INDPROD,TOT,IDX2015,M,1993-01,107.0911,4.673679874,
ITA,INDPROD,TOT,IDX2015,M,1993-02,106.7911,4.67087459,
ITA,INDPROD,TOT,IDX2015,M,1993-03,106.2911,4.666181557,
ITA,INDPROD,TOT,IDX2015,M,1993-04,106.0912,4.664299102,
ITA,INDPROD,TOT,IDX2015,M,1993-05,105.4912,4.658627537,
ITA,INDPROD,TOT,IDX2015,M,1993-06,105.0912,4.654828545,
ITA,INDPROD,TOT,IDX2015,M,1993-07,104.4913,4.649103814,
ITA,INDPROD,TOT,IDX2015,M,1993-08,104.5913,4.650060374,
ITA,INDPROD,TOT,IDX2015,M,1993-09,105.1912,4.655779647,
ITA,INDPROD,TOT,IDX2015,M,1993-10,105.0912,4.654828545,
ITA,INDPROD,TOT,IDX2015,M,1993-11,105.8912,4.662412152,
ITA,INDPROD,TOT,IDX2015,M,1993-12,105.7912,4.66146734,
ITA,INDPROD,TOT,IDX2015,M,1994-01,106.0912,4.664299102,
ITA,INDPROD,TOT,IDX2015,M,1994-02,107.791,4.680194167,
ITA,INDPROD,TOT,IDX2015,M,1994-03,109.2909,4.694013135,
ITA,INDPROD,TOT,IDX2015,M,1994-04,111.0907,4.710346985,
ITA,INDPROD,TOT,IDX2015,M,1994-05,111.4907,4.713941179,
ITA,INDPROD,TOT,IDX2015,M,1994-06,112.5906,4.723758231,
ITA,INDPROD,TOT,IDX2015,M,1994-07,112.7906,4.725533002,
ITA,INDPROD,TOT,IDX2015,M,1994-08,113.1906,4.729073123,
ITA,INDPROD,TOT,IDX2015,M,1994-09,113.7905,4.734359038,
ITA,INDPROD,TOT,IDX2015,M,1994-10,113.4905,4.731719133,
ITA,INDPROD,TOT,IDX2015,M,1994-11,115.3904,4.748321162,
ITA,INDPROD,TOT,IDX2015,M,1994-12,118.1901,4.772294345,
ITA,INDPROD,TOT,IDX2015,M,1995-01,117.7902,4.768905076,
ITA,INDPROD,TOT,IDX2015,M,1995-02,117.0902,4.762944578,
ITA,INDPROD,TOT,IDX2015,M,1995-03,117.3902,4.765503429,
ITA,INDPROD,TOT,IDX2015,M,1995-04,117.4902,4.766354926,
ITA,INDPROD,TOT,IDX2015,M,1995-05,118.1901,4.772294345,
ITA,INDPROD,TOT,IDX2015,M,1995-06,117.9902,4.77060157,
ITA,INDPROD,TOT,IDX2015,M,1995-07,117.8902,4.769753683,
ITA,INDPROD,TOT,IDX2015,M,1995-08,119.99,4.787408406,
ITA,INDPROD,TOT,IDX2015,M,1995-09,119.1901,4.780719697,
ITA,INDPROD,TOT,IDX2015,M,1995-10,119.99,4.787408406,
ITA,INDPROD,TOT,IDX2015,M,1995-11,119.99,4.787408406,
ITA,INDPROD,TOT,IDX2015,M,1995-12,121.9898,4.803937435,
ITA,INDPROD,TOT,IDX2015,M,1996-01,120.19,4.789073824,
ITA,INDPROD,TOT,IDX2015,M,1996-02,118.8901,4.778199537,
ITA,INDPROD,TOT,IDX2015,M,1996-03,117.6902,4.768055748,
ITA,INDPROD,TOT,IDX2015,M,1996-04,116.3903,4.756949198,
ITA,INDPROD,TOT,IDX2015,M,1996-05,116.2903,4.756089651,
ITA,INDPROD,TOT,IDX2015,M,1996-06,116.4903,4.757808008,
ITA,INDPROD,TOT,IDX2015,M,1996-07,116.3903,4.756949198,
ITA,INDPROD,TOT,IDX2015,M,1996-08,116.9902,4.762090171,
ITA,INDPROD,TOT,IDX2015,M,1996-09,115.3904,4.748321162,
ITA,INDPROD,TOT,IDX2015,M,1996-10,115.8903,4.752644054,
ITA,INDPROD,TOT,IDX2015,M,1996-11,115.3904,4.748321162,
ITA,INDPROD,TOT,IDX2015,M,1996-12,115.0904,4.745717907,
ITA,INDPROD,TOT,IDX2015,M,1997-01,115.9903,4.753506567,-0.035567257
ITA,INDPROD,TOT,IDX2015,M,1997-02,117.9902,4.77060157,-0.007597967
ITA,INDPROD,TOT,IDX2015,M,1997-03,118.5901,4.775673009,0.007617261
ITA,INDPROD,TOT,IDX2015,M,1997-04,120.6899,4.793224446,0.036275248
ITA,INDPROD,TOT,IDX2015,M,1997-05,120.39,4.790736473,0.034646822
ITA,INDPROD,TOT,IDX2015,M,1997-06,121.3899,4.799007679,0.041199671
ITA,INDPROD,TOT,IDX2015,M,1997-07,122.1898,4.805575574,0.048626375
ITA,INDPROD,TOT,IDX2015,M,1997-08,122.8898,4.811288019,0.049197848
ITA,INDPROD,TOT,IDX2015,M,1997-09,122.7898,4.81047395,0.062152789
ITA,INDPROD,TOT,IDX2015,M,1997-10,124.2896,4.822614326,0.069970272
ITA,INDPROD,TOT,IDX2015,M,1997-11,123.5897,4.816967208,0.068646047
ITA,INDPROD,TOT,IDX2015,M,1997-12,124.4896,4.824222178,0.078504272
ITA,INDPROD,TOT,IDX2015,M,1998-01,123.5897,4.816967208,0.063460641
ITA,INDPROD,TOT,IDX2015,M,1998-02,123.4897,4.816157752,0.045556182
ITA,INDPROD,TOT,IDX2015,M,1998-03,122.8898,4.811288019,0.03561501
ITA,INDPROD,TOT,IDX2015,M,1998-04,123.8897,4.819391654,0.026167208
ITA,INDPROD,TOT,IDX2015,M,1998-05,123.6897,4.81777601,0.027039537
ITA,INDPROD,TOT,IDX2015,M,1998-06,123.4897,4.816157752,0.017150073
ITA,INDPROD,TOT,IDX2015,M,1998-07,123.2897,4.814536871,0.008961297
ITA,INDPROD,TOT,IDX2015,M,1998-08,121.5899,4.800653907,-0.010634112
ITA,INDPROD,TOT,IDX2015,M,1998-09,123.3897,4.81534764,0.004873689
ITA,INDPROD,TOT,IDX2015,M,1998-10,122.5898,4.808843823,-0.013770504
ITA,INDPROD,TOT,IDX2015,M,1998-11,122.1898,4.805575574,-0.011391635
ITA,INDPROD,TOT,IDX2015,M,1998-12,119.2901,4.781558342,-0.042663837
ITA,INDPROD,TOT,IDX2015,M,1999-01,121.5899,4.800653907,-0.016313301
ITA,INDPROD,TOT,IDX2015,M,1999-02,120.9899,4.795707071,-0.020450681
ITA,INDPROD,TOT,IDX2015,M,1999-03,121.3899,4.799007679,-0.01228034
ITA,INDPROD,TOT,IDX2015,M,1999-04,120.49,4.791566762,-0.027824892
ITA,INDPROD,TOT,IDX2015,M,1999-05,119.59,4.784069226,-0.033706784
ITA,INDPROD,TOT,IDX2015,M,1999-06,121.4899,4.799831132,-0.01632662
ITA,INDPROD,TOT,IDX2015,M,1999-07,122.3898,4.807211033,-0.007325837
ITA,INDPROD,TOT,IDX2015,M,1999-08,123.1897,4.813725444,0.013071537
ITA,INDPROD,TOT,IDX2015,M,1999-09,123.6897,4.81777601,0.00242837
ITA,INDPROD,TOT,IDX2015,M,1999-10,124.8896,4.827430147,0.018586324
ITA,INDPROD,TOT,IDX2015,M,1999-11,125.6895,4.83381458,0.028239006
ITA,INDPROD,TOT,IDX2015,M,1999-12,124.2896,4.822614326,0.041055985
ITA,INDPROD,TOT,IDX2015,M,2000-01,124.5896,4.825025136,0.024371229
ITA,INDPROD,TOT,IDX2015,M,2000-02,125.1896,4.829829388,0.034122317
ITA,INDPROD,TOT,IDX2015,M,2000-03,126.2895,4.838576891,0.039569211
ITA,INDPROD,TOT,IDX2015,M,2000-04,127.2894,4.846463234,0.054896472
ITA,INDPROD,TOT,IDX2015,M,2000-05,127.9893,4.851946667,0.067877441
ITA,INDPROD,TOT,IDX2015,M,2000-06,127.7894,4.850383596,0.050552465
ITA,INDPROD,TOT,IDX2015,M,2000-07,126.7894,4.842527442,0.035316409
ITA,INDPROD,TOT,IDX2015,M,2000-08,127.9893,4.851946667,0.038221223
ITA,INDPROD,TOT,IDX2015,M,2000-09,127.8893,4.851165046,0.033389036
ITA,INDPROD,TOT,IDX2015,M,2000-10,128.3893,4.855067054,0.027636907
ITA,INDPROD,TOT,IDX2015,M,2000-11,129.9892,4.86745137,0.03363679
ITA,INDPROD,TOT,IDX2015,M,2000-12,131.789,4.881202159,0.058587832
ITA,INDPROD,TOT,IDX2015,M,2001-01,128.1893,4.853508078,0.028482942
ITA,INDPROD,TOT,IDX2015,M,2001-02,127.3894,4.847248537,0.017419149
ITA,INDPROD,TOT,IDX2015,M,2001-03,127.4894,4.848033224,0.009456333
ITA,INDPROD,TOT,IDX2015,M,2001-04,126.1895,4.837784745,-0.008678489
ITA,INDPROD,TOT,IDX2015,M,2001-05,126.0895,4.836991972,-0.014954694
ITA,INDPROD,TOT,IDX2015,M,2001-06,126.2895,4.838576891,-0.011806706
ITA,INDPROD,TOT,IDX2015,M,2001-07,123.8897,4.819391654,-0.023135789
ITA,INDPROD,TOT,IDX2015,M,2001-08,126.0895,4.836991972,-0.014954694
ITA,INDPROD,TOT,IDX2015,M,2001-09,124.1897,4.821810235,-0.029354811
ITA,INDPROD,TOT,IDX2015,M,2001-10,123.4897,4.816157752,-0.038909303
ITA,INDPROD,TOT,IDX2015,M,2001-11,121.6899,4.801476006,-0.065975364
ITA,INDPROD,TOT,IDX2015,M,2001-12,123.3897,4.81534764,-0.065854519
ITA,INDPROD,TOT,IDX2015,M,2002-01,122.3898,4.807211033,-0.046297044
ITA,INDPROD,TOT,IDX2015,M,2002-02,123.7897,4.818584158,-0.028664379
ITA,INDPROD,TOT,IDX2015,M,2002-03,124.6896,4.825827449,-0.022205775
ITA,INDPROD,TOT,IDX2015,M,2002-04,120.8899,4.794880214,-0.042904531
ITA,INDPROD,TOT,IDX2015,M,2002-05,125.1896,4.829829388,-0.007162584
ITA,INDPROD,TOT,IDX2015,M,2002-06,123.8897,4.819391654,-0.019185237
ITA,INDPROD,TOT,IDX2015,M,2002-07,123.3897,4.81534764,-0.004044014
ITA,INDPROD,TOT,IDX2015,M,2002-08,121.8898,4.803117358,-0.033874614
ITA,INDPROD,TOT,IDX2015,M,2002-09,124.2896,4.822614326,0.000804091
ITA,INDPROD,TOT,IDX2015,M,2002-10,122.7898,4.81047395,-0.005683801
ITA,INDPROD,TOT,IDX2015,M,2002-11,124.9896,4.828230534,0.026754528
ITA,INDPROD,TOT,IDX2015,M,2002-12,123.6897,4.81777601,0.00242837
ITA,INDPROD,TOT,IDX2015,M,2003-01,124.9896,4.828230534,0.021019501
ITA,INDPROD,TOT,IDX2015,M,2003-02,122.4898,4.808027761,-0.010556397
ITA,INDPROD,TOT,IDX2015,M,2003-03,122.5898,4.808843823,-0.016983626
ITA,INDPROD,TOT,IDX2015,M,2003-04,124.2896,4.822614326,0.027734112
ITA,INDPROD,TOT,IDX2015,M,2003-05,120.19,4.789073824,-0.040755564
ITA,INDPROD,TOT,IDX2015,M,2003-06,121.6899,4.801476006,-0.017915648
ITA,INDPROD,TOT,IDX2015,M,2003-07,123.3897,4.81534764,0
ITA,INDPROD,TOT,IDX2015,M,2003-08,120.7899,4.794052673,-0.009064685
ITA,INDPROD,TOT,IDX2015,M,2003-09,121.2899,4.798183548,-0.024430779
ITA,INDPROD,TOT,IDX2015,M,2003-10,122.5898,4.808843823,-0.001630128
ITA,INDPROD,TOT,IDX2015,M,2003-11,124.0897,4.821004691,-0.007225843
ITA,INDPROD,TOT,IDX2015,M,2003-12,124.0897,4.821004691,0.003228681
ITA,INDPROD,TOT,IDX2015,M,2004-01,124.0897,4.821004691,-0.007225843
ITA,INDPROD,TOT,IDX2015,M,2004-02,123.7897,4.818584158,0.010556397
ITA,INDPROD,TOT,IDX2015,M,2004-03,121.4899,4.799831132,-0.009012691
ITA,INDPROD,TOT,IDX2015,M,2004-04,123.7897,4.818584158,-0.004030168
ITA,INDPROD,TOT,IDX2015,M,2004-05,123.4897,4.816157752,0.027083928
ITA,INDPROD,TOT,IDX2015,M,2004-06,122.7898,4.81047395,0.008997945
ITA,INDPROD,TOT,IDX2015,M,2004-07,123.0897,4.812913358,-0.002434282
ITA,INDPROD,TOT,IDX2015,M,2004-08,120.39,4.790736473,-0.0033162
ITA,INDPROD,TOT,IDX2015,M,2004-09,122.1898,4.805575574,0.007392026
ITA,INDPROD,TOT,IDX2015,M,2004-10,123.1897,4.813725444,0.004881621
ITA,INDPROD,TOT,IDX2015,M,2004-11,121.1899,4.797358737,-0.023645954
ITA,INDPROD,TOT,IDX2015,M,2004-12,120.29,4.789905494,-0.031099197
ITA,INDPROD,TOT,IDX2015,M,2005-01,120.39,4.790736473,-0.030268218
ITA,INDPROD,TOT,IDX2015,M,2005-02,120.8899,4.794880214,-0.023703944
ITA,INDPROD,TOT,IDX2015,M,2005-03,120.9899,4.795707071,-0.004124061
ITA,INDPROD,TOT,IDX2015,M,2005-04,123.5897,4.816967208,-0.00161695
ITA,INDPROD,TOT,IDX2015,M,2005-05,120.6899,4.793224446,-0.022933306
ITA,INDPROD,TOT,IDX2015,M,2005-06,120.6899,4.793224446,-0.017249504
ITA,INDPROD,TOT,IDX2015,M,2005-07,122.3898,4.807211033,-0.005702325
ITA,INDPROD,TOT,IDX2015,M,2005-08,121.4899,4.799831132,0.009094659
ITA,INDPROD,TOT,IDX2015,M,2005-09,122.0898,4.80475684,-0.000818734
ITA,INDPROD,TOT,IDX2015,M,2005-10,122.1898,4.805575574,-0.00814987
ITA,INDPROD,TOT,IDX2015,M,2005-11,123.4897,4.816157752,0.018799015
ITA,INDPROD,TOT,IDX2015,M,2005-12,121.6899,4.801476006,0.011570512
ITA,INDPROD,TOT,IDX2015,M,2006-01,122.1898,4.805575574,0.014839101
ITA,INDPROD,TOT,IDX2015,M,2006-02,124.4896,4.824222178,0.029341964
ITA,INDPROD,TOT,IDX2015,M,2006-03,125.0896,4.829030281,0.033323209
ITA,INDPROD,TOT,IDX2015,M,2006-04,124.0897,4.821004691,0.004037483
ITA,INDPROD,TOT,IDX2015,M,2006-05,126.9894,4.844103618,0.050879172
ITA,INDPROD,TOT,IDX2015,M,2006-06,127.3894,4.847248537,0.054024091
ITA,INDPROD,TOT,IDX2015,M,2006-07,125.4895,4.83222209,0.025011056
ITA,INDPROD,TOT,IDX2015,M,2006-08,127.1894,4.845677314,0.045846182
ITA,INDPROD,TOT,IDX2015,M,2006-09,126.8894,4.843315841,0.038559001
ITA,INDPROD,TOT,IDX2015,M,2006-10,127.0894,4.844890776,0.039315202
ITA,INDPROD,TOT,IDX2015,M,2006-11,127.2894,4.846463234,0.030305482
ITA,INDPROD,TOT,IDX2015,M,2006-12,129.3892,4.862824916,0.061348911
ITA,INDPROD,TOT,IDX2015,M,2007-01,128.0893,4.852727677,0.047152103
ITA,INDPROD,TOT,IDX2015,M,2007-02,128.8893,4.858953896,0.034731718
ITA,INDPROD,TOT,IDX2015,M,2007-03,129.7892,4.865911596,0.036881315
ITA,INDPROD,TOT,IDX2015,M,2007-04,127.3894,4.847248537,0.026243846
ITA,INDPROD,TOT,IDX2015,M,2007-05,130.0892,4.868220369,0.024116751
ITA,INDPROD,TOT,IDX2015,M,2007-06,129.2892,4.862051756,0.014803218
ITA,INDPROD,TOT,IDX2015,M,2007-07,128.4893,4.855845632,0.023623543
ITA,INDPROD,TOT,IDX2015,M,2007-08,133.2889,4.892518953,0.046841639
ITA,INDPROD,TOT,IDX2015,M,2007-09,129.8892,4.866681779,0.023365938
ITA,INDPROD,TOT,IDX2015,M,2007-10,128.4893,4.855845632,0.010954857
ITA,INDPROD,TOT,IDX2015,M,2007-11,127.0894,4.844890776,-0.001572458
ITA,INDPROD,TOT,IDX2015,M,2007-12,127.9893,4.851946667,-0.01087825
ITA,INDPROD,TOT,IDX2015,M,2008-01,130.6891,4.87282122,0.020093543
ITA,INDPROD,TOT,IDX2015,M,2008-02,129.6892,4.865140819,0.006186922
ITA,INDPROD,TOT,IDX2015,M,2008-03,130.3891,4.870523057,0.004611461
ITA,INDPROD,TOT,IDX2015,M,2008-04,131.689,4.880443082,0.033194545
ITA,INDPROD,TOT,IDX2015,M,2008-05,127.0894,4.844890776,-0.023329593
ITA,INDPROD,TOT,IDX2015,M,2008-06,128.4893,4.855845632,-0.006206123
ITA,INDPROD,TOT,IDX2015,M,2008-07,124.3896,4.823418576,-0.032427057
ITA,INDPROD,TOT,IDX2015,M,2008-08,121.1899,4.797358737,-0.095160216
ITA,INDPROD,TOT,IDX2015,M,2008-09,120.39,4.790736473,-0.075945306
ITA,INDPROD,TOT,IDX2015,M,2008-10,117.8902,4.769753683,-0.08609195
ITA,INDPROD,TOT,IDX2015,M,2008-11,113.8905,4.73523746,-0.109653315
ITA,INDPROD,TOT,IDX2015,M,2008-12,109.1909,4.693097727,-0.15884894
